topic,question,option_a,option_b,option_c,option_d,correct,explanation,difficulty
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q13: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q14: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Cubes and Dice,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><polygon points=""40,20 70,10 70,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 10,40 40,50"" fill=""white"" stroke=""black""/><polygon points=""40,20 10,10 40,0 70,10"" fill=""white"" stroke=""black""/><text x=""40"" y=""35"" font-size=""10"">1</text><text x=""25"" y=""15"" font-size=""10"">2</text><text x=""55"" y=""15"" font-size=""10"">3</text><text x=""180"" y=""40"" font-size=""14"">Opposite of 1?</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Cubes and Dice Q15: Based on the visible faces of the dice, which number is opposite to '1'?</p>",6,5,4,2,A,"In a standard dice, opposite faces sum to 7. Since 1 is visible, 6 is opposite.",Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q1: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q2: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q3: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q4: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q5: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q6: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q7: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q8: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q9: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q10: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q11: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q12: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q13: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
Embedded Images,"<div style=""text-align:center; margin: 10px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #eee; border-radius: 8px;""><g transform=""translate(20,10)""><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g><text x=""120"" y=""40"">Is embedded in:</text><g transform=""translate(200,10)""><rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""white"" stroke=""black"" stroke-width=""2""/><polygon points=""0,0 40,0 20,40"" fill=""white"" stroke=""black"" stroke-width=""2""/><line x1=""20"" y1=""0"" x2=""20"" y2=""40"" stroke=""black""/></g></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Embedded Images Q14: Find the figure in which the left shape is embedded.</p>",Option A,Option B,Option C,Option D,A,The shape is perfectly contained within the larger figure.,Medium
